11,AMBA,
220,MERLO (PROV.  BUENOS AIRES),BUENOS AIRES
2202,GONZALEZ CATAN,BUENOS AIRES
221,LA PLATA,BUENOS AIRES
2221,MAGDALENA,BUENOS AIRES
2223,CORONEL BRANDSEN,BUENOS AIRES
2224,GLEW,BUENOS AIRES
2225,ALEJANDRO KORN,BUENOS AIRES
2226,CAÑUELAS,BUENOS AIRES
2227,LOBOS,BUENOS AIRES
2229,JUAN MARIA GUTIERREZ,BUENOS AIRES
223,MAR DEL PLATA,BUENOS AIRES
2241,CHASCOMUS,BUENOS AIRES
2242,LEZAMA,BUENOS AIRES
2243,GENERAL BELGRANO,BUENOS AIRES
2244,LAS FLORES (PROV.  BUENOS AIRES),BUENOS AIRES
2245,DOLORES (PROV.  BUENOS AIRES),BUENOS AIRES
2246,SANTA TERESITA,BUENOS AIRES
2252,SAN CLEMENTE DEL TUYU,BUENOS AIRES
2254,PINAMAR,BUENOS AIRES
2255,VILLA GESELL,BUENOS AIRES
2257,MAR DE AJO,BUENOS AIRES
2261,LOBERIA,BUENOS AIRES
2262,NECOCHEA,BUENOS AIRES
2264,LA DULCE,BUENOS AIRES
2265,CORONEL VIDAL,BUENOS AIRES
2266,BALCARCE,BUENOS AIRES
2267,GENERAL MADARIAGA,BUENOS AIRES
2268,MAIPU (PROV.  BUENOS AIRES),BUENOS AIRES
2271,MONTE,BUENOS AIRES
2272,NAVARRO,BUENOS AIRES
2273,CARMEN DE ARECO,BUENOS AIRES
2274,CARLOS SPEGAZZINI,BUENOS AIRES
2281,AZUL,BUENOS AIRES
2283,TAPALQUE,BUENOS AIRES
2284,OLAVARRIA,BUENOS AIRES
2285,LAPRIDA,BUENOS AIRES
2286,GENERAL LAMADRID,BUENOS AIRES
2291,MIRAMAR (PROV.  BUENOS AIRES),BUENOS AIRES
2292,BENITO JUAREZ,BUENOS AIRES
2293,TANDIL,BUENOS AIRES
2296,AYACUCHO,BUENOS AIRES
2297,RAUCH,BUENOS AIRES
2302,GENERAL PICO,LA PAMPA
2314,BOLIVAR,BUENOS AIRES
2316,DAIREAUX,BUENOS AIRES
2317,9 DE JULIO (PROV.  BUENOS AIRES),BUENOS AIRES
2320,JOSE C. PAZ,BUENOS AIRES
2322,PILAR (PROV.  BUENOS AIRES),BUENOS AIRES
2323,LUJAN (PROV.  BUENOS AIRES),BUENOS AIRES
2324,MERCEDES (PROV.  BUENOS AIRES),BUENOS AIRES
2325,SAN ANDRES DE GILES,BUENOS AIRES
2326,SAN ANTONIO DE ARECO,BUENOS AIRES
2331,REALICO,LA PAMPA
2333,QUEMU QUEMU,LA PAMPA
2334,EDUARDO CASTEX,LA PAMPA
2335,CALEUFU,LA PAMPA
2336,HUINCA RENANCO,CORDOBA
2337,AMERICA,BUENOS AIRES
2338,VICTORICA,LA PAMPA
2342,BRAGADO,BUENOS AIRES
2343,NORBERTO DE LA RIESTRA,BUENOS AIRES
2344,SALADILLO (PROV.  BUENOS AIRES),BUENOS AIRES
2345,25 DE MAYO (PROV.  BUENOS AIRES),BUENOS AIRES
2346,CHIVILCOY,BUENOS AIRES
2352,CHACABUCO,BUENOS AIRES
2353,GENERAL ARENALES,BUENOS AIRES
2354,VEDIA,BUENOS AIRES
2355,LINCOLN,BUENOS AIRES
2356,GENERAL PINTO,BUENOS AIRES
2357,CARLOS TEJEDOR,BUENOS AIRES
2358,LOS TOLDOS (PROV.  BUENOS AIRES),BUENOS AIRES
2362,JUNIN (PROV.  BUENOS AIRES),BUENOS AIRES
237,MORENO,BUENOS AIRES
2392,TRENQUE LAUQUEN,BUENOS AIRES
2393,SALAZAR,BUENOS AIRES
2394,TRES LOMAS,BUENOS AIRES
2395,CARLOS CASARES,BUENOS AIRES
2396,PEHUAJO,BUENOS AIRES
2473,COLON (PROV.  BUENOS AIRES),BUENOS AIRES
2474,SALTO,BUENOS AIRES
2475,ROJAS,BUENOS AIRES
2477,PERGAMINO,BUENOS AIRES
2478,ARRECIFES,BUENOS AIRES
261,MENDOZA,MENDOZA
2622,TUNUYAN,MENDOZA
2623,SAN MARTIN (PROV.  MENDOZA),MENDOZA
2624,USPALLATA,MENDOZA
2625,GENERAL ALVEAR (PROV.  MENDOZA),MENDOZA
2626,LA PAZ (PROV.  MENDOZA),MENDOZA
2627,SAN RAFAEL (PROV. MENDOZA),MENDOZA
264,SAN JUAN,SAN JUAN
2646,SAN AGUSTIN DEL VALLE FERTIL,SAN JUAN
2647,JACHAL,SAN JUAN
2648,CALINGASTA,SAN JUAN
2651,SAN FRANCISCO DEL MONTE DE ORO,SAN LUIS
2652,SAN LUIS (PROV.  SAN LUIS),SAN LUIS
2655,LA TOMA,SAN LUIS
2656,TILISARAO,SAN LUIS
2657,MERCEDES (PROV.  SAN LUIS),SAN LUIS
2658,BUENA ESPERANZA,SAN LUIS
2901,USHUAIA,TIERRA DEL FUEGO
2902,RIO TURBIO,SANTA CRUZ
2903,RIO MAYO,CHUBUT
291,BAHIA BLANCA,BUENOS AIRES
2920,VIEDMA,RIO NEGRO
2921,CORONEL DORREGO,BUENOS AIRES
2922,CORONEL PRINGLES,BUENOS AIRES
2923,PIGÜE,BUENOS AIRES
2924,DARREGUEIRA,BUENOS AIRES
2925,VILLA IRIS,BUENOS AIRES
2926,CORONEL SUAREZ,BUENOS AIRES
2927,MEDANOS (PROV.  BUENOS AIRES),BUENOS AIRES
2928,PEDRO LURO,BUENOS AIRES
2929,GUAMINI,BUENOS AIRES
2931,RIO COLORADO (PROV. RIO NEGRO),RIO NEGRO
2932,PUNTA ALTA,BUENOS AIRES
2933,HUANGUELEN SUR,BUENOS AIRES
2934,SAN ANTONIO OESTE,RIO NEGRO
2935,RIVERA,BUENOS AIRES
2936,CARHUE,BUENOS AIRES
2940,INGENIERO JACOBACCI,RIO NEGRO
2941,GENERAL ROCA (PROV.  RIO NEGRO),RIO NEGRO
2942,ZAPALA,NEUQUEN
2944,SAN CARLOS DE BARILOCHE,RIO NEGRO
2945,ESQUEL,CHUBUT
2946,CHOELE CHOEL,RIO NEGRO
